Año,País,Valor
2022,CRI,11.779
2023,CRI,12.469
2019,CRI,7.381
2020,CRI,7.386
2021,CRI,7.144
2022,CRI,6.644
2023,CRI,7.163
2019,COL,11.865
2020,COL,12.328
2021,COL,12.717
2022,COL,12.685
2023,COL,12.665
2019,HUN,0.451
2020,HUN,0.473
2021,HUN,0.541
2022,HUN,0.561
2023,HUN,0.851
2019,CZE,5.866
2020,CZE,5.857
2021,CZE,6.021
2022,CZE,6.328
2023,CZE,6.833
2019,CHL,0.0263134821677605
2020,CHL,0.0405851641854822
2021,CHL,0.0499402900210437
2022,CHL,0.0535344932473537
2019,ESP,11.037
2020,ESP,11.585
2021,ESP,11.535
2022,ESP,11.658
2023,ESP,11.836
2019,CRI,6.357
2020,CRI,6.897
2021,CRI,6.46
2022,CRI,7.18
2023,CRI,6.348
2019,AUS,8.516
2020,AUS,10.645
2021,AUS,9.724
2022,AUS,9.377
2023,AUS,8.745
2019,NLD,0.47
2020,NLD,0.554
2021,NLD,0.438
2022,NLD,0.503
2023,NLD,0.445
2019,BRA,8.403
2020,BRA,8.492
2021,BRA,8.55
2022,BRA,8.495
2023,BRA,8.663
2019,CYP,4.04
2020,CYP,4.096
2021,CYP,3.618
2022,CYP,3.724
2023,CYP,4.131
2019,LTU,11.698
2020,LTU,11.689
2021,LTU,11.045
2022,LTU,10.918
2023,LTU,11.424
2019,CHE,0.224052308827927
2020,CHE,0.239066485270546
2021,CHE,0.266819020695241
2022,CHE,0.195868226274611
2019,EU22OECD,0.663
2020,EU22OECD,0.718
2021,EU22OECD,0.726
2022,EU22OECD,0.755
2023,EU22OECD,0.796
2019,IDN,12.133
2019,BGR,4.909
2020,BGR,4.891
2021,BGR,4.973
2022,BGR,4.861
2023,BGR,5.082
2019,JPN,7.735
2020,JPN,8.24
2021,JPN,8.738
2022,JPN,8.544
2023,JPN,8.081
2019,CAN,6.54
2020,CAN,6.618
2021,CAN,6.877
2022,CAN,6.796
2023,CAN,6.944
2019,HUN,6.771
2020,HUN,6.83
2021,HUN,6.871
2022,HUN,6.953
2023,HUN,6.993
2019,MLT,6.974
2020,MLT,9.727
2021,MLT,10.384
2022,MLT,13.183
2023,MLT,7.449
2019,EU27,0.485
2020,EU27,0.49
2021,EU27,0.653
2022,EU27,0.765
2023,EU27,0.859
2019,OECD,11.456
2020,OECD,11.547
2021,OECD,11.545
2022,OECD,11.581
2023,OECD,11.481
2019,CHL,6.436
2020,CHL,6.686
2021,CHL,7.624
2022,CHL,6.835
2023,CHL,6.98
2019,G7,0.15978808381431
2020,G7,0.241792656559397
2021,G7,0.0996639968646793
2022,G7,0.097071666777205
2019,OECD,3.125
2020,OECD,3.137
2021,OECD,3.173
2022,OECD,3.281
2023,OECD,3.324
2019,MLT,18.577
2020,MLT,13.649
2021,MLT,19.588
2022,MLT,20.367
2023,MLT,18.962
2019,CRI,10.638
2020,CRI,10.821
2021,CRI,11.294
2022,CRI,10.798
2023,CRI,9.992
2019,COL,9.89
2020,COL,9.95
2021,COL,9.407
2022,COL,9.258
2023,COL,9.241
2019,IND,2.466
2020,IND,2.526
2021,IND,2.477
2022,IND,2.502
2023,IND,2.515
2019,MEX,12.525
2020,MEX,12.876
2021,MEX,11.727
2022,MEX,12.352
2023,MEX,12.255
2019,SVK,7.747
2020,SVK,7.652
2021,SVK,7.557
2022,SVK,7.5
2023,SVK,7.371
2019,EST,1.218
2020,EST,0.94
2021,EST,0.807
2022,EST,1.155
2023,EST,1.02
2019,BEL,0.272
2020,BEL,0.257
2021,BEL,0.253
2022,BEL,0.282
2023,BEL,0.375
2019,JPN,5.808
2020,JPN,5.657
2021,JPN,5.533
2022,JPN,5.518
2023,JPN,5.461
2019,IRL,8.648
2020,IRL,8.728
2021,IRL,8.869
2022,IRL,8.792
2023,IRL,8.541
2019,SWE,3.361
2020,SWE,3.057
2021,SWE,3.123
2022,SWE,3.846
2023,SWE,3.82
2019,G7,8.801
2020,G7,7.644
2021,G7,7.444
2022,G7,8.9
2023,G7,9.134
2019,CHE,10.788
2020,CHE,11.141
2021,CHE,11.175
2022,CHE,11.294
2023,CHE,11.218
2019,E,10.2896641808448
2020,E,10.5887061306008
2021,E,10.7356092328543
2022,E,10.683126850179
2019,OECD,11.24
2020,OECD,11.269
2021,OECD,11.322
2022,OECD,11.373
2023,OECD,11.289
2019,AUT,7.738
2020,AUT,7.759
2021,AUT,7.799
2022,AUT,7.858
2023,AUT,7.866
2019,LTU,8.89
2020,LTU,8.823
2021,LTU,8.833
2022,LTU,8.911
2023,LTU,8.75
2019,LTU,0.0449028703573304
2020,LTU,0.0541572091896079
2021,LTU,0.0379735180880155
2022,LTU,0.0251358361305316
2019,CRI,10.346
2020,CRI,10.88
2021,CRI,10.69
2022,CRI,9.938
2023,CRI,8.517
2019,POL,16.635
2020,POL,15.559
2021,POL,14.063
2022,POL,16.085
2023,POL,18.237
2019,LUX,8.087
2020,LUX,8.193
2021,LUX,8.33
2022,LUX,8.342
2023,LUX,8.328
2019,CHE,4.221
2020,CHE,4.136
2021,CHE,4.147
2022,CHE,4.197
2023,CHE,4.215
2019,CHL,8.739
2020,CHL,8.857
2021,CHL,8.825
2022,CHL,8.869
2023,CHL,8.769
2019,SWE,1.251
2020,SWE,1.522
2021,SWE,1.416
2022,SWE,1.266
2023,SWE,1.368
2019,E,8.25283729655736
2020,E,8.35060332584945
2021,E,8.48377887684072
2022,E,8.40865971259596
2019,BGR,12.227
2020,BGR,12.088
2021,BGR,12.319
2022,BGR,10.902
2023,BGR,10.57
2019,HUN,7.189
2020,HUN,6.966
2021,HUN,6.837
2022,HUN,6.804
2023,HUN,6.813
2019,JPN,9.352
2020,JPN,9.626
2021,JPN,9.624
2022,JPN,9.824
2023,JPN,10.158
2019,EST,9.922
2020,EST,9.854
2021,EST,10.841
2022,EST,10.977
2023,EST,11.053
2019,COL,3.528
2020,COL,3.467
2021,COL,3.486
2022,COL,3.599
2023,COL,3.676
2019,HRV,13.256
2020,HRV,13.267
2021,HRV,12.447
2022,HRV,12.239
2023,HRV,12.572
2019,BEL,5.161
2020,BEL,4.85
2021,BEL,4.681
2022,BEL,6.579
2023,BEL,7.39
2019,DNK,11.83
2020,DNK,11.502
2021,DNK,11.19
2022,DNK,10.879
2023,DNK,10.686
2019,DEU,9.254
2020,DEU,9.07
2021,DEU,9.086
2022,DEU,9.085
2023,DEU,9.177
2019,ISR,10.707
2020,ISR,10.079
2021,ISR,10.14
2022,ISR,10.461
2023,ISR,10.75
2019,EU27,12.615
2020,EU27,12.541
2021,EU27,12.437
2022,EU27,12.336
2023,EU27,12.241
2019,BRA,0.859
2020,BRA,1.079
2021,BRA,1.28
2022,BRA,1.087
2023,BRA,1.423
2019,IDN,7.833
2019,GBR,11.862
2020,GBR,12.07
2021,GBR,12.267
2022,GBR,13.158
2023,GBR,13.16
2019,FIN,11.551
2020,FIN,11.974
2021,FIN,11.68
2022,FIN,11.537
2023,FIN,11.81
2019,IRL,0.416
2020,IRL,0.548
2021,IRL,0.608
2022,IRL,0.594
2023,IRL,0.598
2019,NZL,7.544
2020,NZL,7.548
2021,NZL,7.618
2022,NZL,7.71
2023,NZL,7.95
2019,COL,0.881
2020,COL,0.725
2021,COL,0.733
2022,COL,0.771
2023,COL,0.79
2019,LVA,11.498
2020,LVA,11.699
2021,LVA,11.725
2022,LVA,12.023
2023,LVA,12.209
2019,JPN,1.515
2020,JPN,2.632
2021,JPN,2.564
2022,JPN,1.408
2023,JPN,1.37
2019,IND,0.159
2020,IND,0.162
2021,IND,0.173
2022,IND,0.194
2023,IND,0.201
2019,OECD,11.418
2020,OECD,11.435
2021,OECD,11.342
2022,OECD,11.176
2023,OECD,11.115
2021,ROU,0.0364469464989927
2022,ROU,0.0274731225296034
2019,ISL,6.531
2020,ISL,6.482
2021,ISL,6.472
2022,ISL,6.542
2023,ISL,6.56
2019,EST,11.616
2020,EST,11.635
2021,EST,11.384
2022,EST,10.753
2023,EST,11.128
2019,FIN,11.036
2020,FIN,11.147
2021,FIN,11.478
2022,FIN,11.52
2023,FIN,11.214
2019,ITA,5.19
2020,ITA,5.053
2021,ITA,4.959
2022,ITA,5.163
2023,ITA,5.369
2019,BEL,4.184
2020,BEL,4.654
2021,BEL,7.299
2022,BEL,7.209
2023,BEL,6.92
2019,CZE,11.628
2020,CZE,12.194
2021,CZE,12.269
2022,CZE,12.638
2023,CZE,11.61
2019,ISR,12.378
2020,ISR,12.228
2021,ISR,11.794
2022,ISR,11.356
2023,ISR,11.129
2019,LVA,10.616
2020,LVA,9.707
2021,LVA,9.002
2022,LVA,8.235
2023,LVA,7.694
2019,GBR,6.996
2020,GBR,7.144
2021,GBR,7.309
2022,GBR,8.033
2023,GBR,8.073
2019,EU27,13.237
2020,EU27,13.153
2021,EU27,13.054
2022,EU27,12.933
2023,EU27,12.835
2019,BRA,4.563
2020,BRA,4.736
2021,BRA,4.443
2022,BRA,4.77
2023,BRA,4.731
2019,ZAF,7.842
2020,ZAF,8.256
2021,ZAF,8.433
2022,ZAF,8.609
2023,ZAF,8.833
2019,ITA,13.387
2020,ITA,14.206
2021,ITA,14.236
2022,ITA,13.714
2023,ITA,14.15
2019,ITA,7.092
2020,ITA,7.226
2021,ITA,7.492
2022,ITA,7.869
2023,ITA,8.15
2019,SWE,11.664
2020,SWE,11.944
2021,SWE,11.825
2022,SWE,11.47
2023,SWE,11.199
2019,CRI,12.539
2020,CRI,12.743
2021,CRI,13.051
2022,CRI,14.139
2023,CRI,13.622
2019,LVA,8.266
2020,LVA,8.973
2021,LVA,9.313
2022,LVA,9.491
2023,LVA,9.784
2019,CZE,9.014
2020,CZE,9.15
2021,CZE,9.171
2022,CZE,8.841
2023,CZE,8.013
2019,AUS,6.024
2020,AUS,6.191
2021,AUS,6.346
2022,AUS,6.361
2023,AUS,6.276
2019,ITA,0.0467266616507326
2020,ITA,0.0473705074431529
2021,ITA,0.0567643815774453
2022,ITA,0.0317280388560522
2019,EU19OECD,6.472
2020,EU19OECD,6.754
2021,EU19OECD,6.988
2022,EU19OECD,7.201
2023,EU19OECD,7.556
2019,OECD,1.263
2020,OECD,1.307
2021,OECD,1.311
2022,OECD,1.337
2023,OECD,1.384
2019,IDN,11.063
2019,PRT,5.904
2020,PRT,5.921
2021,PRT,5.874
2022,PRT,5.879
2023,PRT,5.906
2019,JPN,8.297
2020,JPN,8.457
2021,JPN,8.557
2022,JPN,8.691
2023,JPN,8.689
2019,DNK,6.754
2020,DNK,6.71
2021,DNK,6.911
2022,DNK,6.716
2023,DNK,6.558
2019,EST,15.162
2020,EST,15.114
2019,NOR,10.922
2020,NOR,10.62
2021,NOR,10.275
2022,NOR,10.434
2023,NOR,10.484
2019,GBR,6.283
2020,GBR,6.236
2021,GBR,6.263
2022,GBR,6.375
2023,GBR,6.434
2019,ARG,10.871
2020,ARG,11.045
2021,ARG,11.041
2022,ARG,10.726
2023,ARG,10.351
2019,ROU,5.005
2020,ROU,5.142
2021,ROU,5.202
2022,ROU,4.673
2023,ROU,4.158
2019,NOR,21.5
2020,NOR,17.768
2021,NOR,25.965
2022,NOR,26.238
2023,NOR,28.684
2019,SVN,11.179
2020,SVN,11.472
2021,SVN,11.455
2022,SVN,11.87
2023,SVN,11.86
2019,DEU,7.483
2020,DEU,7.269
2021,DEU,7.408
2022,DEU,7.535
2023,DEU,7.637
2019,AUS,18.716
2020,AUS,19.186
2021,AUS,19.694
2022,AUS,19.893
2023,AUS,19.865
2019,AUS,11.812
2020,AUS,11.578
2021,AUS,11.152
2022,AUS,11.187
2023,AUS,11.471
2019,IRL,1.695
2020,IRL,1.823
2021,IRL,1.77
2022,IRL,1.872
2023,IRL,2.029
2019,IDN,0.0842926470716586
2019,ARG,3.552
2020,ARG,3.306
2021,ARG,3.138
2019,CRI,9.355
2020,CRI,9.012
2021,CRI,9.455
2022,CRI,8.767
2023,CRI,9.474
2019,MEX,9.342
2020,MEX,9.399
2021,MEX,9.58
2022,MEX,9.762
2023,MEX,10.167
2019,G7,0.393
2020,G7,0.397
2021,G7,0.416
2022,G7,0.415
2023,G7,0.422
2019,ISR,10.561
2020,ISR,10.844
2021,ISR,11.025
2022,ISR,10.65
2023,ISR,10.536
2019,SWE,11.297
2020,SWE,11.035
2021,SWE,10.593
2022,SWE,10.221
2023,SWE,9.831
2019,NOR,7.143
2020,NOR,6.986
2021,NOR,7.349
2022,NOR,7.178
2023,NOR,7.238
2019,ISR,7.89
2020,ISR,8.002
2021,ISR,7.772
2022,ISR,8.053
2023,ISR,8.096
2019,DNK,11.849
2020,DNK,12.03
2021,DNK,12.047
2022,DNK,11.343
2023,DNK,10.833
2019,DEU,7.894
2020,DEU,8.056
2021,DEU,8.271
2022,DEU,8.423
2023,DEU,8.673
2019,IND,0.073
2020,IND,0.076
2021,IND,0.075
2022,IND,0.062
2023,IND,0.078
2019,ARG,1.23
2020,ARG,1.021
2021,ARG,1.032
2019,ARG,0.230455037009515
2020,ARG,0.115878945036903
2021,ARG,0.124388803530671
2019,MKD,0.2
2020,MKD,0.168
2019,MKD,7.437
2020,MKD,7.515
2019,ZAF,13.19
2020,ZAF,12.537
2021,ZAF,11.899
2022,ZAF,12.921
2023,ZAF,12.714
2019,EU22OECD,6.571
2020,EU22OECD,6.833
2021,EU22OECD,7.042
2022,EU22OECD,7.224
2023,EU22OECD,7.51
2019,USA,7.781
2020,USA,8.776
2021,USA,9.69
2022,USA,8.794
2023,USA,8.437
2019,G7,10.768
2020,G7,10.891
2021,G7,10.969
2022,G7,10.992
2023,G7,10.997
2019,ISR,4.862
2020,ISR,4.155
2021,ISR,4.515
2022,ISR,4.629
2023,ISR,4.478
2019,TUR,6.907
2020,TUR,7.137
2021,TUR,7.258
2022,TUR,7.171
2023,TUR,7.027
2019,EU22OECD,6.134
2020,EU22OECD,6.406
2021,EU22OECD,6.633
2022,EU22OECD,6.669
2023,EU22OECD,6.68
2019,ZAF,5.648
2020,ZAF,5.904
2021,ZAF,5.808
2022,ZAF,5.421
2023,ZAF,5.572
2019,ISL,5.598
2020,ISL,5.253
2021,ISL,5.791
2022,ISL,6.043
2023,ISL,6.051
2019,G7,8.627
2020,G7,8.553
2021,G7,8.945
2022,G7,8.955
2023,G7,8.986
2019,SVK,10.654
2020,SVK,10.464
2021,SVK,10.632
2022,SVK,10.881
2023,SVK,11.147
2019,LVA,2.669
2020,LVA,1.98
2021,LVA,2.513
2022,LVA,1.489
2023,LVA,1.316
2019,CZE,8.611
2020,CZE,9.084
2021,CZE,9.543
2022,CZE,9.766
2023,CZE,9.425
2019,GBR,12.749
2020,GBR,12.118
2021,GBR,11.245
2022,GBR,10.741
2023,GBR,11.456
2019,LVA,13.268
2020,LVA,12.153
2021,LVA,9.477
2022,LVA,9.254
2023,LVA,10.151
2019,CHL,5.51
2020,CHL,5.049
2021,CHL,5.124
2022,CHL,5.306
2023,CHL,5.579
2019,POL,0.116
2020,POL,0.103
2021,POL,0.134
2022,POL,0.142
2023,POL,0.176
2019,DEU,8.105
2020,DEU,8.434
2021,DEU,8.681
2022,DEU,9.032
2023,DEU,9.501
2019,ARG,9.103
2020,ARG,7.799
2021,ARG,8.597
2022,ARG,9.323
2023,ARG,9.186
2019,AUT,11.648
2020,AUT,11.674
2021,AUT,11.719
2022,AUT,11.91
2023,AUT,11.896
2019,PRT,7.251
2020,PRT,7.301
2021,PRT,7.399
2022,PRT,7.42
2023,PRT,7.514
2019,CYP,5.357
2020,CYP,5.477
2021,CYP,5.463
2022,CYP,5.402
2023,CYP,5.462
2019,G7,10.362
2020,G7,10.514
2021,G7,10.484
2022,G7,10.417
2023,G7,10.297
2021,DNK,0.664
2022,DNK,0.808
2023,DNK,0.417
2019,KOR,8.577
2020,KOR,8.18
2021,KOR,7.752
2022,KOR,7.307
2023,KOR,6.96
2019,RUS,6.13
2020,RUS,5.926
2021,RUS,5.722
2022,RUS,5.353
2019,CHE,12.174
2020,CHE,13.716
2021,CHE,12.44
2022,CHE,12.462
2023,CHE,12.044
2019,JPN,8.333
2020,JPN,8.696
2021,JPN,9.483
2022,JPN,10.28
2023,JPN,9.346
2019,AUS,18.613
2020,AUS,17.892
2021,AUS,17.561
2022,AUS,17.63
2023,AUS,17.616
2019,ESP,5.205
2020,ESP,5.226
2021,ESP,5.289
2022,ESP,5.284
2023,ESP,5.296
2019,EU19OECD,2.866
2020,EU19OECD,2.782
2021,EU19OECD,3.456
2022,EU19OECD,3.496
2023,EU19OECD,3.568
2019,BGR,12.38
2020,BGR,12.648
2021,BGR,10.875
2022,BGR,10.966
2023,BGR,12.044
2019,MEX,10.447
2020,MEX,10.07
2021,MEX,10.141
2022,MEX,10.32
2023,MEX,10.163
2019,NLD,8.248
2020,NLD,7.951
2021,NLD,7.629
2022,NLD,7.557
2023,NLD,7.587
2019,COL,13.069
2020,COL,13.184
2021,COL,13.874
2022,COL,13.795
2023,COL,13.738
2019,AUT,7.875
2020,AUT,7.584
2021,AUT,7.697
2022,AUT,7.63
2023,AUT,7.632
2019,ISR,7.671
2020,ISR,7.739
2021,ISR,7.907
2022,ISR,7.601
2023,ISR,7.592
2019,ARG,17.812
2020,ARG,16.042
2021,ARG,11.721
2022,ARG,12.689
2023,ARG,13.159
2019,ROU,12.403
2020,ROU,13.679
2021,ROU,14.775
2022,ROU,15.54
2023,ROU,14.682
2019,DEU,2.859
2020,DEU,2.855
2021,DEU,2.675
2022,DEU,2.827
2023,DEU,2.839
2019,BEL,12.884
2020,BEL,12.741
2021,BEL,12.551
2022,BEL,12.552
2023,BEL,12.468
2019,CHL,13.068
2020,CHL,12.89
2021,CHL,14.011
2022,CHL,14.139
2023,CHL,13.678
2019,ARG,6.3
2020,ARG,4.205
2021,ARG,5.688
2022,ARG,4.508
2023,ARG,5.978
2019,E,7.18259552363778
2020,E,7.18176442496792
2021,E,7.18433780621499
2022,E,7.16342166360508
2019,NLD,9.267
2020,NLD,8.975
2021,NLD,9.262
2022,NLD,9.508
2023,NLD,9.647
2019,LUX,2.288
2020,LUX,2.37
2021,LUX,2.445
2022,LUX,2.537
2023,LUX,2.357
2019,LTU,11.447
2020,LTU,11.948
2021,LTU,12.515
2022,LTU,13.128
2023,LTU,14.038
2019,USA,7.265
2020,USA,7.411
2021,USA,7.46
2022,USA,7.374
2023,USA,7.256
2019,IRL,11.533
2020,IRL,11.157
2021,IRL,10.829
2022,IRL,10.399
2023,IRL,10.541
2019,CHE,5.007614882372
2020,CHE,5.15588052327685
2021,CHE,5.18870274999239
2022,CHE,5.37726831509295
2019,IDN,9.805
2019,BRA,11.804
2020,BRA,11.459
2021,BRA,11.962
2022,BRA,11.208
2023,BRA,10.977
2019,SVN,11.228
2020,SVN,11.729
2021,SVN,13.467
2022,SVN,9.036
2023,SVN,11.001
2019,EST,8.393
2020,EST,8.565
2021,EST,8.792
2022,EST,8.932
2023,EST,9.283
2019,ESP,5.591
2020,ESP,5.674
2021,ESP,5.629
2022,ESP,5.713
2023,ESP,5.855
2019,FIN,6.461
2020,FIN,6.457
2021,FIN,7.486
2022,FIN,7.916
2023,FIN,8.172
2021,EST,0.372
2022,EST,0.358
2023,EST,0.596
2019,LUX,0.327
2020,LUX,0.492
2021,LUX,0.727
2022,LUX,0.601
2023,LUX,0.629
2019,RUS,15.926
2020,RUS,15.894
2021,RUS,15.867
2022,RUS,15.763
2019,COL,9.922
2020,COL,9.867
2021,COL,9.517
2022,COL,9.402
2023,COL,9.367
2019,LUX,13.422
2020,LUX,13.094
2021,LUX,12.577
2022,LUX,12.582
2023,LUX,13.061
2019,BEL,0.3
2020,BEL,0.208
2021,BEL,0.197
2022,BEL,0.342
2023,BEL,0.491
2019,HUN,11.737
2020,HUN,11.384
2021,HUN,10.881
2022,HUN,10.389
2023,HUN,9.899
2019,AUS,11.75
2020,AUS,11.502
2021,AUS,11.091
2022,AUS,11.107
2023,AUS,11.43
2019,PRT,0.492
2020,PRT,0.365
2021,PRT,0.492
2022,PRT,0.504
2023,PRT,0.493
2019,OECD,3.323
2020,OECD,3.116
2021,OECD,3.183
2022,OECD,3.297
2023,OECD,3.323
2019,CYP,7.269
2020,CYP,7.1
2021,CYP,6.794
2022,CYP,6.784
2023,CYP,6.699
2019,EU27,0.0247326966607392
2020,EU27,0.0306523943878373
2021,EU27,0.0366406374283498
2022,EU27,0.0367894109360774
2019,ITA,6.858
2020,ITA,7.007
2021,ITA,6.932
2022,ITA,7.196
2023,ITA,7.759
2019,LUX,12.475
2020,LUX,12.377
2021,LUX,12.453
2022,LUX,13.049
2023,LUX,12.564
2019,NOR,7.484
2020,NOR,7.569
2021,NOR,7.687
2022,NOR,7.811
2023,NOR,7.846
2019,BEL,0.153
2020,BEL,0.157
2021,BEL,0.068
2022,BEL,0.068
2023,BEL,0.053
2019,DEU,8.25
2020,DEU,8.154
2021,DEU,8.262
2022,DEU,9.143
2023,DEU,8.414
2019,EU19OECD,0.0277605462090266
2020,EU19OECD,0.0339252535266813
2021,EU19OECD,0.0391559655967668
2022,EU19OECD,0.0412467512421913
2019,MKD,0.054
2020,MKD,0.052
2019,IND,1.534
2020,IND,1.933
2021,IND,1.61
2022,IND,1.546
2023,IND,1.71
2019,COL,7.251
2020,COL,8.216
2021,COL,8.86
2022,COL,7.111
2023,COL,7.509
2019,NOR,7.181
2020,NOR,7.105
2021,NOR,6.673
2022,NOR,6.937
2023,NOR,6.933
2019,AUS,10.293
2020,AUS,10.412
2021,AUS,10.52
2022,AUS,10.558
2023,AUS,10.773
2019,GRC,6.453
2020,GRC,6.518
2021,GRC,6.839
2022,GRC,7.194
2023,GRC,7.135
2019,GRC,9.146
2020,GRC,9.223
2021,GRC,9.067
2022,GRC,8.812
2023,GRC,8.473
2021,LUX,0.23
2022,LUX,0.508
2019,EU22OECD,0.0
2020,EU22OECD,0.0
2019,MLT,9.131
2020,MLT,8.539
2021,MLT,7.768
2022,MLT,7.87
2023,MLT,7.188
2019,IND,0.563
2020,IND,0.218
2021,IND,0.231
2022,IND,0.391
2023,IND,0.468
2019,ITA,5.046
2020,ITA,4.824
2021,ITA,5.054
2022,ITA,5.21
2023,ITA,5.182
2019,KOR,7.974
2020,KOR,8.556
2021,KOR,8.851
2022,KOR,9.23
2023,KOR,9.496
2019,KOR,12.829
2020,KOR,12.452
2021,KOR,11.918
2022,KOR,11.278
2023,KOR,10.863
2019,ISR,10.748
2020,ISR,10.777
2021,ISR,10.789
2022,ISR,10.762
2023,ISR,10.74
2019,AUT,9.76
2020,AUT,9.027
2021,AUT,8.731
2022,AUT,8.484
2023,AUT,9.084
2019,MEX,10.651
2020,MEX,10.365
2021,MEX,10.376
2022,MEX,10.446
2023,MEX,10.298
2019,ISR,9.158
2020,ISR,9.073
2021,ISR,8.911
2022,ISR,8.758
2023,ISR,8.534
2019,ISL,4.036
2020,ISL,3.873
2021,ISL,4.126
2022,ISL,4.086
2023,ISL,4.173
2019,BEL,8.097
2020,BEL,8.001
2021,BEL,7.923
2022,BEL,7.891
2023,BEL,7.91
2019,MLT,10.467
2020,MLT,10.748
2021,MLT,10.852
2022,MLT,11.188
2023,MLT,11.409
2019,IDN,4.649
2019,EU19OECD,1.536
2020,EU19OECD,1.572
2021,EU19OECD,1.678
2022,EU19OECD,1.823
2023,EU19OECD,1.945
2019,LUX,14.304
2020,LUX,13.8
2021,LUX,13.325
2022,LUX,13.314
2023,LUX,13.384
2019,DNK,6.653
2020,DNK,6.638
2021,DNK,6.912
2022,DNK,6.657
2023,DNK,6.508
2019,FRA,0.413
2020,FRA,0.467
2021,FRA,0.352
2022,FRA,0.443
2023,FRA,0.448
2019,JPN,9.379
2020,JPN,9.599
2021,JPN,9.581
2022,JPN,9.787
2023,JPN,10.048
2019,COL,13.04
2020,COL,13.204
2021,COL,13.604
2022,COL,13.635
2023,COL,13.304
2019,ISR,10.378
2020,ISR,10.226
2021,ISR,10.24
2022,ISR,10.264
2023,ISR,10.556
2019,ITA,9.932
2020,ITA,10.059
2021,ITA,10.455
2022,ITA,10.745
2023,ITA,10.589
2022,DNK,0.073545558054526
2019,GBR,2.526
2020,GBR,2.583
2021,GBR,2.582
2022,GBR,2.822
2023,GBR,2.907
2019,BGR,11.286
2020,BGR,11.475
2021,BGR,11.891
2022,BGR,10.192
2023,BGR,9.781
2019,E,5.78129371949505
2020,E,6.01669592196073
2021,E,6.12775978429605
2022,E,6.32228128175806
2019,G7,10.406
2020,G7,10.275
2021,G7,10.185
2022,G7,9.95
2023,G7,9.936
2019,BEL,12.374
2020,BEL,12.397
2021,BEL,12.647
2022,BEL,12.719
2023,BEL,12.548
2019,LUX,0.138
2020,LUX,0.233
2021,LUX,0.504
2022,LUX,0.44
2023,LUX,0.633
2019,MKD,10.85
2020,MKD,9.356
2019,MLT,5.407
2020,MLT,8.034
2021,MLT,6.16
2022,MLT,7.068
2023,MLT,6.344
2019,ESP,0.752
2020,ESP,0.936
2021,ESP,1.079
2022,ESP,1.132
2023,ESP,1.186
2019,FIN,7.605
2020,FIN,7.93
2021,FIN,7.965
2022,FIN,8.38
2023,FIN,8.612
2019,G7,3.93391621162248
2020,G7,4.04375980194883
2021,G7,4.7663575158686
2022,G7,4.71294279161814
2019,IND,11.21
2020,IND,11.062
2021,IND,11.255
2022,IND,10.803
2023,IND,10.412
2019,EU19OECD,6.525
2020,EU19OECD,6.832
2021,EU19OECD,7.018
2022,EU19OECD,7.253
2023,EU19OECD,7.664
2019,ARG,0.951
2020,ARG,0.827
2021,ARG,0.575
2022,ARG,1.407
2023,ARG,2.303
2019,RUS,8.747
2020,RUS,8.976
2021,RUS,9.163
2022,RUS,9.302
2019,MLT,13.948
2020,MLT,14.036
2021,MLT,13.517
2022,MLT,13.925
2023,MLT,13.563
2019,SWE,11.727
2020,SWE,12.09
2021,SWE,12.37
2022,SWE,12.547
2023,SWE,12.476
2019,SVN,8.245
2020,SVN,8.071
2021,SVN,7.844
2022,SVN,7.692
2023,SVN,7.338
2019,CZE,8.692
2020,CZE,10.963
2021,CZE,14.201
2022,CZE,13.196
2023,CZE,10.926
2019,EU27,12.598
2020,EU27,12.583
2021,EU27,12.471
2022,EU27,12.333
2023,EU27,12.202
2019,MKD,11.315
2020,MKD,11.168
2019,KOR,8.936
2020,KOR,8.95
2021,KOR,9.081
2022,KOR,9.222
2023,KOR,9.227
2019,AUT,0.549
2020,AUT,0.552
2021,AUT,0.493
2022,AUT,0.653
2023,AUT,0.594
2019,GBR,11.009
2020,GBR,10.814
2021,GBR,10.484
2022,GBR,10.168
2023,GBR,10.174
2019,GRC,1.027
2020,GRC,1.009
2021,GRC,1.083
2022,GRC,2.19
2023,GRC,2.074
2019,SVK,0.639
2020,SVK,0.625
2021,SVK,0.421
2022,SVK,0.558
2023,SVK,0.617
2019,CHL,3.233
2020,CHL,3.345
2021,CHL,3.418
2022,CHL,3.496
2023,CHL,3.691
2019,ISL,8.705
2020,ISL,8.729
2021,ISL,8.841
2022,ISL,8.7
2023,ISL,8.502
2019,CZE,8.966
2020,CZE,9.806
2021,CZE,8.596
2022,CZE,8.657
2023,CZE,11.756
2019,POL,0.135
2020,POL,0.169
2021,POL,0.11
2022,POL,0.006
2023,POL,0.294
2019,BRA,0.798
2020,BRA,0.634
2021,BRA,0.654
2022,BRA,0.878
2023,BRA,0.929
2019,MKD,4.112
2020,MKD,4.358
2019,IND,10.888
2020,IND,10.678
2021,IND,10.734
2022,IND,10.588
2023,IND,11.898
2019,MEX,4.62
2020,MEX,4.672
2021,MEX,4.876
2022,MEX,4.887
2023,MEX,5.018
2019,LTU,10.633
2020,LTU,11.172
2021,LTU,11.473
2022,LTU,12.223
2023,LTU,12.946
2019,SVN,6.35
2020,SVN,5.708
2021,SVN,6.125
2022,SVN,6.323
2023,SVN,6.691
